Dimension,dimension_guid,categorisation_code,has_parent,has_all,has_unknown,Ethnicity categorisation,Subtopic,Measure
Economic inactivity by White and Other ethnicities,6fa1a2f47cedaa16caf6a6fdfce1ba03cf4a51f6,2A,No,Yes,No,"White, Other",Unemployment and economic inactivity,Economic inactivity
Economic inactivity by ethnicity over time,71d77f81f9d318eebb400b76f775506104a496a2,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity
Economic inactivity by ethnicity and region,914a96b17512a1cb823ee4cf96bce263d5ab4b1a,2A,No,No,No,"White, Other",Unemployment and economic inactivity,Economic inactivity
Economic inactivity by ethnicity and gender,797bf6542403092079eeb226d49b05bcd0f7d398,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity
Economic inactivity by ethnicity and age,034d97416ee51aa2621354bec472c1945cce5351,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity
Economic inactivity for 16 to 24 year olds over time,abfd8de99907963b2f670fef3bf32741529ae2d4,8A,No,Yes,No,"Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity
"Economically inactive 16 to 64 year olds in full-time education, by ethnicity",ff73163d74e8ef3e6c24d75ba3e96755b162d4fb,6B,No,Yes,Yes,"Asian, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity due to full-time education
Economically inactive 16 to 64 year olds in full-time education by ethnicity and area,c4b64c7c14cf6d564a5d95c52585cf4409b76b9e,2B,No,Yes,No,"White British, Other",Unemployment and economic inactivity,Economic inactivity due to full-time education
"Economically inactive 16 to 64 year olds in full-time education, by ethnicity over time",0179bb844308f1c0e65d9fec0121878dda3e0187,6B,No,Yes,Yes,"Asian, Black, Mixed, White British, White other, Other",Unemployment and economic inactivity,Economic inactivity due to full-time education
Weekly household income by ethnicity,38528e1e53f9adcd18d11495ec270a9334123c8a,10A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pay and income,Household income
People living on persistent low income before housing costs are paid (BHC),c93f76b26a3498eb8350e21f8eeaf4a81902a8c1,6B,No,No,No,"Asian, Black, Mixed, White British, White other, Other",Pay and income,Low income
People living on persistent low income after housing costs are paid (AHC),753ff868a2674778346af8ef8480f6b2dd9bb229,6B,No,No,No,"Asian, Black, Mixed, White British, White other, Other",Pay and income,Low income
Average hourly pay by ethnicity,9580817d019a1f6ebb905512e9ea4e4b6b2bad2a,6D,No,Yes,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Pay and income,Average hourly pay
Income distribution before housing costs (BHC) by ethnicity,aa949a925e9c1138a208bc34d9af98d084276aea,6B,No,No,No,"Asian, Black, Mixed, White British, White other, Other",Pay and income,Income distribution
Income distribution after housing costs (AHC) by ethnicity,b6a0235b7798aed7ecd290d5df71e9521f58ae09,6B,No,No,No,"Asian, Black, Mixed, White British, White other, Other",Pay and income,Income distribution
Sources of household income by ethnicity,a648ab0b9d51db8d512a44ce7489a5c0ca5fe9d7,10A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pay and income,Sources of household income
"Share of income from wages, salaries or self-employment by ethnicity over time",9aa1d7c254105ed4f5599007dc67d62e70405299,10A,No,No,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pay and income,Sources of household income
Share of income from pensions by ethnicity over time,42eade7ea6675f7c462ae06dc4decf0b75f4f86d,10A,No,No,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pay and income,Sources of household income
Share of income from benefits and tax credits by ethnicity over time,6b62a934ae5c1b1cd23b74305840f962d1caca0f,10A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Pay and income,Sources of household income
Pensioners' income sources,092947a5490f3a2a23ee5e3622c46af52a502530,5C,No,Yes,No,"Asian, Black, White British, White other, Other inc Mixed",Pay and income,Pensioner income
Pensioners' total income by source,7de50f94a422418414cc9c91276e35f58520f301,5C,No,Yes,No,"Asian, Black, White British, White other, Other inc Mixed",Pay and income,Pensioner income
Pensioners' total income over time,f408e5df74520369209e4f487f127c2de424293f,5C,No,Yes,No,"Asian, Black, White British, White other, Other inc Mixed",Pay and income,Pensioner income
Income from the State Pension over time,a5af484370c589e57b5dc7d18b15571a079dd27f,5C,No,Yes,No,"Asian, Black, White British, White other, Other inc Mixed",Pay and income,Pensioner income
Income from occupational pensions over time,51b3c6f698ccecdbc8c08dceb3e61a49982c037a,5C,No,Yes,No,"Asian, Black, White British, White other, Other inc Mixed",Pay and income,Pensioner income
"Family units receiving state support, by ethnicity and type of support",2b5891f803877809da872a3ea2c9804645e91044,10A,Yes,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
"Family units receiving non-income related benefits, by ethnicity and type of benefit",9c3c36328c891b50b903773d71bc1869a81e71f9,10A,No,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
Family units receiving income-related benefits,81a8bb9d3bd51f156ccfbe06d94fa21f684c85e4,10A,Yes,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
Family units receiving Jobseekerâ€™s Allowance (JSA) or Employment and Support Allowance (ESA),3b4e23e77b528658a61f59c3402fb7472a5c8d05,10A,Yes,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
Family units receiving tax credits,c28f21c89ddd23cb9993167c10fa401b3e2cdd46,10A,Yes,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
Family units receiving state support by ethnicity over time,2e967ecd866be3d1db6132461d41519ba5ca1cb2,10A,Yes,Yes,No,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",Benefits,State support
People claiming Income Support by ethnicity,52a36c652605641c5de10c4a1e3e9abc7d900c33,2A,No,Yes,No,"White, Other",Benefits,People on Income Support
People claiming Income Support by ethnicity and region,d2e813b09a5983e1032bfb4f48c0ce32a48f4cb2,2A,No,Yes,No,"White, Other",Benefits,People on Income Support
People claiming Income Support by ethnicity over time,ed09db236d626bc9fa6f737b7aea871e426d2cb7,2A,No,No,No,"White, Other",Benefits,People on Income Support
People claiming Jobseekerâ€™s Allowance by ethnicity,f3b38779593043a1682b60b4c211853c07f23a17,2A,No,Yes,No,"White, Other",Benefits,People claiming Jobseekerâ€™s Allowance
People claiming Jobseeker's Allowance by ethnicity and region,aad0de11a1e67277172a1ae679b5fc49409a01d1,2A,No,No,No,"White, Other",Benefits,People claiming Jobseekerâ€™s Allowance
People claiming Jobseeker's Allowance by ethnicity over time,a5d808be67325fc8c18a07522d13806fa782bc4b,2A,No,No,No,"White, Other",Benefits,People claiming Jobseekerâ€™s Allowance
People claiming Employment and Support Allowance by ethnicity,09dd27e83a973a21fb422cd5b34822321a67fadc,2A,No,Yes,No,"White, Other",Benefits,People claiming Employment and Support Allowance
People claiming Employment and Support Allowance by ethnicity and region,bd2c0381378257f81058418d63722169d6b33c05,2A,No,No,No,"White, Other",Benefits,People claiming Employment and Support Allowance
People claiming Employment and Support Allowance by ethnicity over time,faca5c5f3410497fba54fe8615bfb546d249a837,2A,No,No,No,"White, Other",Benefits,People claiming Employment and Support Allowance
"How long people claim Jobseekerâ€™s Allowance for, by ethnicity",17424525b7e4864b8da58c5c5478ab8e314fbf8f,6B,No,Yes,Yes,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseekerâ€™s Allowance: how long people claim for
"Claims for Jobseekerâ€™s Allowance lasting for 13 weeks or less, by ethnicity and area",caef8665befe61f9e3bda8a05f394e210723d33b,6B,No,Yes,Yes,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseekerâ€™s Allowance: how long people claim for
"Claims for Jobseekerâ€™s Allowance lasting for 13 weeks or less, over time",e7dc25df26410130865bb52fab3c92d06ba42dd1,6B,No,Yes,Yes,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseekerâ€™s Allowance: how long people claim for
"Jobseekerâ€™s Allowance claimants sanctioned, by ethnicity",1ac82695b2d1d2c8561bd619e090d110d8ca426c,6B,No,Yes,No,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseeker's Allowance: sanctions
"Jobseekerâ€™s Allowance claimants sanctioned, by ethnicity and area",8eead69c8d99a08781d7eac5a8f74976788f0c19,6B,No,Yes,No,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseeker's Allowance: sanctions
"Jobseekerâ€™s Allowance claimants sanctioned, by ethnicity and age",c85febb37c7e5aed89afec26a7a357f005980b44,6B,No,Yes,No,"Asian, Black, Mixed, White British, White other, Other",Benefits,Jobseeker's Allowance: sanctions
"Jobseekerâ€™s Allowance claimants sanctioned, by ethnicity over time",bdffc3eb791d770c016ff3ecee246f7a7c4f7464,2A,No,No,No,"White, Other",Benefits,Jobseeker's Allowance: sanctions
"Employment and Support Allowance claimants sanctioned, by ethnicity",19682c1487f6efe21fe8ef8ac9cbd58dd6f8f5e8,6B,No,No,No,"Asian, Black, Mixed, White British, White other, Other",Benefits,Employment and Support Allowance: sanctions
"Employment and Support Allowance claimants sanctioned, by ethnicity and area",40901fffb95c76c8bbbd4127a3cfb57fbbb4ec9c,2A,No,No,No,"White, Other",Benefits,Employment and Support Allowance: sanctions
"Employment and Support Allowance claimants sanctioned, by ethnicity and age",1fed17f33a06f796457c452f9e53168ff9aa9bf0,2A,No,No,No,"White, Other",Benefits,Employment and Support Allowance: sanctions
"Employment and Support Allowance claimants sanctioned, by ethnicity over time",615ca57a982ca2f58b9815048921816f814254ce,2A,No,No,No,"White, Other",Benefits,Employment and Support Allowance: sanctions
Customer satisfaction with DWP frontline services by ethnicity,3aa8d642615fc2d1c31f512326f56c428ca3a20b,6B,No,No,Yes,"Asian, Black, Mixed, White British, White other, Other",Benefits,Customer satisfaction with Department for Work and Pensions services
Self-employment in the UK by ethnicity over time,1d0aa59a4c94377085dc83f290197eb36761b18f,6D,No,No,No,"Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",Business and self-employment,Self-employment
Individuals accessing Start Up Loans,d10e6a68c4999b9384379d2833ab5889b6e888b1,5B,No,No,No,"Asian, Black, White, Mixed, Other",Business and self-employment,Access to Start Up Loans
NHS staff believing all employees have the same chances for career progression by ethnicity,2b91a4c17c1c88c53baa1077d4235f1ef66f59d7,2A,No,No,No,"White, Other",Public sector workforce,NHS staff believing all employees have the same chance of career progression
Civil Service workforce by ethnicity,e9a92a3fefe892ba88a5e311f5ef3b3f1bb66e37,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Bullying and harassment among NHS staff by ethnicity,b2f082be211f01d1bdc32b4af2bd3f748705f0e0,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment among NHS staff
Civil Service workforce by ethnicity and area,f9e9d5c47a8d02a2a893d46f7027271f2c4a30ed,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
NHS staff believing all employees have the same chances for career progression by ethnicity and region,82edfd762d769020ed1d13f40258ecfb45b5a4d7,2A,No,No,No,"White, Other",Public sector workforce,NHS staff believing all employees have the same chance of career progression
Bullying and harassment among NHS staff by ethnicity and region,42de7de0bd5d4587267b073bb8165ec39062bb02,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment among NHS staff
Civil Service workforce by ethnicity and gender,aff568fecf8d0d9f0d1a4967b2091f55cb1cbc61,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Bullying and harassment among NHS staff by ethnicity and type of trust,d6503d9c56f22cc32d957943d67640dab9bdd382,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment among NHS staff
NHS staff believing all employees have the same chances for career progression by ethnicity and type of trust,ca9e0d160e4c8ba84afc63f194f94eb0585e1f86,2A,No,No,No,"White, Other",Public sector workforce,NHS staff believing all employees have the same chance of career progression
Civil Service workforce by ethnicity and age group,2cfc497621710147c2ab5c3b033f45049f838cb8,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil Service workforce by ethnicity and grade,41d04e157c7291aca3139bce50edfa1e93ede5c3,6A,No,No,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil servants' median pay by ethnicity and grade,5b1505f23af29a03416da12808af7344d138f230,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Civil servants' median pay by ethnicity and region,b656fcca703b9295323f3fb58e47f04a65741adc,6A,No,Yes,No,"Asian, Black, Chinese, Mixed, White, Other",Public sector workforce,Civil Service Workforce
Teachers by ethnicity,c35f2ebcc2719b694368dd379da6f9f8380546e5,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and gender,358bb23efff9470864c498f63669fe6b4630c8ca,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and grade,8c0125d41f76a893354757036fee576c836ee367,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Teachers by ethnicity and type of school,38102b3cfa8dbdcb392ec70f05b5ea411563dfbd,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Head teachers by ethnicity and gender,b306966a4ce59185cd656793e115844327398721,16A,No,No,No,2001 census: 16 categories (plus 'unknown'),Public sector workforce,School teacher workforce
Police workforce by ethnicity,4b10eefe1c3c2da1cfc3c52425bf2338648c2e16,5B,No,No,No,"Asian, Black, White, Mixed, Other",Public sector workforce,Police workforce
Police workforce by ethnicity and area,7828a34fcbed8166d6847bb043f7ba0397fe1a10,5B,No,No,No,"Asian, Black, White, Mixed, Other",Public sector workforce,Police workforce
Police workforce by ethnicity and rank,d1223a055fa93cb5072b49980dca5383e15bc373,5B,No,No,No,"Asian, Black, White, Mixed, Other",Public sector workforce,Police workforce
Police workforce by ethnicity and type of police work,e82535b8593cc0b8ee0bc8d46028242d29f97dad,5B,No,No,No,"Asian, Black, White, Mixed, Other",Public sector workforce,Police workforce
"Personnel by ethnicity and service, 2017",7be7bf984436fd4aed02e93f818d7cfa0cb3e1cc,2A,No,No,No,"White, Other",Public sector workforce,Armed forces workforce
Officers by ethnicity and service over time,3e29abd86ee601c12b42f96c4971986ae348a5c2,2A,No,No,No,"White, Other",Public sector workforce,Armed forces workforce
Service personnel (all other ranks) over time,4950a882f6ec276edc877ab0f4e36cfe0acebf89,2A,No,No,No,"White, Other",Public sector workforce,Armed forces workforce
Armed forces personnel by ethnicity and rank,da01cf34d7adb2dbc31b8b6d47f983f451eb15da,2A,No,No,No,"White, Other",Public sector workforce,Armed forces workforce
Judges and non-legal members by ethnicity,f56faeff2a69893ff6f1709dfab9441c4d004d99,5B,No,No,Yes,"Asian, Black, White, Mixed, Other",Public sector workforce,Judges and non-legal members of courts and tribunals in the workforce
Prison officers by ethnicity and time,57def60436b0570ddb7a1cd95d9add2f9d584d9b,5A,No,No,Yes,"Asian, Black, White, Mixed, Chinese inc Other",Public sector workforce,Prison officer workforce
NHS staff experiencing discrimination at work by ethnicity,2d575d054dc27d1e4213d402c9b413ee9b410372,2A,No,No,No,"White, Other",Public sector workforce,NHS staff experiencing discrimination at work
NHS staff experiencing discrimination at work by ethnicity and region,f6975fea7739bb92a2de7f6701b2f1b0d9d80ab1,2A,No,No,No,"White, Other",Public sector workforce,NHS staff experiencing discrimination at work
NHS staff experiencing discrimination at work by ethnicity and type of trust,89861a278a64ce7ff4c236e0e3c6f1b514dbb94d,2A,No,No,No,"White, Other",Public sector workforce,NHS staff experiencing discrimination at work
Successful shortlisted NHS job applicants by ethnicity,f2f54664dd5cce0f0d641dface1dd73340a50044,2A,No,No,No,"White, Other",Public sector workforce,NHS workforce appointments
Successful shortlisted NHS job applicants by ethnicity and region,a122e4d94f49c2d356bc07c0d9fc7291242e66cf,2A,No,No,No,"White, Other",Public sector workforce,NHS workforce appointments
Successful shortlisted NHS job applicants by ethnicity and type of trust,606237ba2bebba24d14a3fb9b1e6e71e41d339df,2A,No,No,No,"White, Other",Public sector workforce,NHS workforce appointments
NHS staff taking part in optional training or CPD by ethnicity,f4ec8a6242f4bd8b81bcd384b857850a2adabfb9,2A,No,No,No,"White, Other",Public sector workforce,NHS staff taking part in optional training or continuing professional development (CPD)
NHS staff taking part in optional training or CPD by ethnicity and area,6529b69908b7489ad0e60d6aaf69f27d6b8e4d1a,2A,No,No,No,"White, Other",Public sector workforce,NHS staff taking part in optional training or continuing professional development (CPD)
NHS staff taking part in optional training or CPD by ethnicity and type of trust,c9b2477e8bfb23a016b3f25a9f052aa7db755779,2A,No,No,No,"White, Other",Public sector workforce,NHS staff taking part in optional training or continuing professional development (CPD)
NHS staff entering the formal disciplinary process by ethnicity,38033401c0486897bccfea9edc50cf6296d81682,2A,No,No,No,"White, Other",Public sector workforce,NHS staff entering the formal disciplinary process
NHS staff entering the formal disciplinary process by ethnicity and region,3e82de160c250ec4ddcd18fed725a74e3f756933,2A,No,No,No,"White, Other",Public sector workforce,NHS staff entering the formal disciplinary process
NHS staff entering the formal disciplinary process by ethnicity and type of trust,e4e486d4fa1be55c5ec5204127791d2a33263455,2A,No,No,No,"White, Other",Public sector workforce,NHS staff entering the formal disciplinary process
"NHS staff experiencing bullying or harassment by patients or the public, by ethnicity",878338c2199cf556f3adb26a3ebb0a0afa6fee75,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment of NHS staff by patients or the public
"NHS staff experiencing bullying or harassment by patients or the public, by ethnicity and region",400ffc2cc85e910af711f881e585dc985f2fc31f,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment of NHS staff by patients or the public
"NHS staff experiencing bullying or harassment by patients or the public, by ethnicity and type of trust",acfdf5aa9ded1d0c5c91712081ae940f9aad0b34,2A,No,No,No,"White, Other",Public sector workforce,Bullying and harassment of NHS staff by patients or the public
NHS trust board members by ethnicity,b5f13bd4c3908c78bc627a52c6e59f60c93bf2dc,2A,No,No,No,"White, Other",Public sector workforce,NHS trust board membership
NHS trust board members by ethnicity and region,ec0a337c9f86f5b57302d01c351e4bb1930e18cb,2A,No,No,No,"White, Other",Public sector workforce,NHS trust board membership
NHS trust board members by ethnicity and type of trust,c78f37a6967af2aeac732df066fa8c49644a17f0,2A,No,No,No,"White, Other",Public sector workforce,NHS trust board membership
NHS non-medical workforce by ethnicity,0d0c35539a2195d3b9def1b47992715526239e80,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS non-medical workforce by ethnicity and region,e8b5d4c169a7c6ee5bb52b8f32718a7711942797,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS non-medical workforce by ethnicity and type of trust,a9b972cc186e9d3eb1683903d0a788f0019d3fd9,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS clinical non-medical workforce by ethnicity,4a78574eb605c1df7b9feb1e4331e5ba5e6d8125,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS clinical non-medical workforce by ethnicity and region,ec2dcda618be04b53d6e4f99c9050ed7a31aacbd,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS clinical non-medical workforce by ethnicity and type of trust,3ae7e9aa33a4579f750a5ae06460e339a7729b82,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS non-clinical workforce by ethnicity,119d0d5ef7a8410cf10702ee861d1543d3742f26,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS non-clinical workforce by ethnicity and region,b56c80b02c115cdb9ce857657a26c07f8e9fcd49,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
NHS non-clinical workforce by ethnicity and type of trust,8247450a13d7e2f77033a718bbc1419ec01ec0c8,2A,No,No,No,"White, Other",Public sector workforce,NHS non-medical workforce
